gen_1_0;gen_2_1;gen_5_2;gen_5_3;balance;gen_0_5
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
142.1;142.1;22.0;22.0;13.2;142.1
